artist,song
Kendrick Lamar & SZA,Luther
Lady Gaga & Bruno Mars,Die With A Smile
Kendrick Lamar,Not Like Us
Kendrick Lamar Featuring Lefty Gunplay,TV Off
Shaboozey,A Bar Song (Tipsy)
ROSE & Bruno Mars,APT.
Billie Eilish,Birds Of A Feather
Chappell Roan,Pink Pony Club
Teddy Swims,Lose Control
Drake,Nokia
Gracie Abrams,That's So True
Benson Boone,Beautiful Things
Morgan Wallen,Love Somebody
Kendrick Lamar,Squabble Up
Post Malone Featuring Morgan Wallen,I Had Some Help
SZA With Kendrick Lamar,30 For 30
Morgan Wallen,I'm The Problem
Sabrina Carpenter,Espresso
The Weeknd & Playboi Carti,Timeless
Lola Young,Messy
Tate McRae,Sports Car
Doechii,Denial Is A River
Sabrina Carpenter,Taste
Hozier,Too Sweet
Tate McRae,Revolving Door
Kendrick Lamar & SZA,All The Stars
Chappell Roan,"Good Luck, Babe!"
Myles Smith,Stargazing
Lady Gaga,Abracadabra
Bad Bunny,DTMF
Jelly Roll,Liar
Sabrina Carpenter,Bed Chem
Koe Wetzel & Jessie Murph,High Road
"PARTYNEXTDOOR, Drake & Yebba",Die Trying
Gigi Perez,Sailor Song
Zach Top,I Never Lie
SZA,BMF
Drake,Gimme A Hug
Cody Johnson & Carrie Underwood,I'm Gonna Love You
The Marias,No One Noticed
Jimin,Who
Bad Bunny,Baile Inolvidable
Sabrina Carpenter,Please Please Please
Benson Boone,Sorry I'm Here For Someone Else
Sleepy Hallow Featuring Doechii,A N X I E T Y
Kendrick Lamar Featuring AzChike,Peekaboo
GloRilla & Sexyy Red,Whatchu Kno About Me
Billie Eilish,Wildflower
Sam Barber Featuring Avery Anna,Indigo
Morgan Wallen,Smile
Chris Brown,Residuals
"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",Sticky
The Weeknd,Cry For Me
Teddy Swims,Bad Dreams
Shaboozey,Good News
Bhad Bhabie,Ms. Whitman
GELO,Tweaker
Jordan Davis,I Ain't Sayin'
Leon Thomas,Mutt
Riley Green,Worst Way
Sabrina Carpenter,Busy Woman
PARTYNEXTDOOR & Drake,Somebody Loves Me
Neton Vega,Loco
Alex Warren,Ordinary
Fuerza Regida & Grupo Frontera,Me Jalo
Bad Bunny,Nuevayol
Megan Moroney,Am I Okay?
Sexyy Red & Bruno Mars,Fat Juicy & Wet
"Tyler, The Creator Featuring Lola Young",Like Him
Summer Walker,Heart Of A Woman
Tate McRae,Dear God
"Selena Gomez, benny blanco & Gracie Abrams",Call Me When You Break Up
Tate McRae Featauring The Kid LAROI,I Know Love
Lainey Wilson,4x4xU
Tate McRae,Purple Lace Bra
Tate McRae,Miss Possessive
J. Cole,cLOUDs
Brandon Lake,Hard Fought Hallelujah
Fuerza Regida,Por Esos Ojos
PARTYNEXTDOOR & Drake,CN Tower
Ella Mai,Little Things
Kane Brown,Backseat Driver
Imogen Heap,Headlock
Don Toliver,No Pole
Tito Double P,Tattoo
Bad Bunny,Voy A Llevarte Pa PR
BigXthaPlug,The Largest
Ella Langley,Weren't For The Wind
PARTYNEXTDOOR & Drake,Something About You
Rauw Alejandro & Bad Bunny,Que Pasaria...
Alex Warren,Burning Down
Bad Bunny,EOO
Tyla,Push 2 Start
Oscar Maydon & Fuerza Regida,Tu Boda
Teddy Swims & GIVEON,Are You Even Real
LISA Featuring Doja Cat & RAYE,Born Again
Giveon,Twenties
PARTYNEXTDOOR,Deeper
Bailey Zimmerman,Holy Smokes
Gabito Ballesteros & Tito Double P,7 Dias
